Model,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
GTX TITAN X,12,384,1000,1753,192,96,No,PCIe 3.0 x16,GDDR5,GM200
GRID M60-1Q,1.024,256,557,1253,128,64,No,PCIe 3.0 x16,GDDR5,GM204
GRID M60-2Q,2,256,557,1253,128,64,No,PCIe 3.0 x16,GDDR5,GM204
GRID M60-4A,4,256,557,1253,128,64,No,PCIe 3.0 x16,GDDR5,GM204
GRID M60-8Q,8,256,557,1253,128,64,No,PCIe 3.0 x16,GDDR5,GM204
GRID M6-8Q,8,256,722,1253,96,64,No,PCIe 3.0 x16,GDDR5,GM204
HD Graphics,,,500,,12,2,Yes,Ring Bus,System Shared,Braswell GT1
HD Graphics,,,100,,12,2,Yes,Ring Bus,System Shared,Broadwell GT1
HD Graphics 400,,,320,,12,2,Yes,Ring Bus,System Shared,Braswell GT1
HD Graphics 405,,,200,,16,2,Yes,Ring Bus,System Shared,Braswell GT1
HD Graphics 500,,,200,,12,2,Yes,Ring Bus,System Shared,Apollo Lake GT1
HD Graphics 510,,,350,,12,2,Yes,Ring Bus,System Shared,Skylake GT1
HD Graphics 510,,,300,,12,3,Yes,Ring Bus,System Shared,Skylake GT1
HD Graphics 515,,,300,,24,3,Yes,Ring Bus,System Shared,Skylake GT2
HD Graphics 520,,,300,,24,3,Yes,Ring Bus,System Shared,Skylake GT2
HD Graphics 530,,,350,,24,3,Yes,Ring Bus,System Shared,Skylake GT2
HD Graphics 530,,,350,,24,3,Yes,Ring Bus,System Shared,Skylake GT2
HD Graphics P530,,,350,,16,3,Yes,Ring Bus,System Shared,Skylake GT2
Iris Graphics 540,,,300,,48,6,Yes,Ring Bus,System Shared,Skylake GT3e
Iris Graphics 550,,,300,,48,6,Yes,Ring Bus,System Shared,Skylake GT3e
Iris Pro Graphics 580,,,350,,72,9,Yes,Ring Bus,System Shared,Skylake GT4e
Iris Pro Graphics P555,,,350,,48,6,Yes,Ring Bus,System Shared,Skylake GT3e
Iris Pro Graphics P580,,,350,,72,9,Yes,Ring Bus,System Shared,Skylake GT4e
Iris Pro Graphics P580,,,350,,72,9,Yes,Ring Bus,System Shared,Skylake GT4e
Jetson TX1 GPU,,,1000,,16,16,Yes,IGP,System Shared,GM20B
NVS 810,2,64,902,900,32,16,No,PCIe 3.0 x16,DDR3,GM107
Quadro K1200,4,128,1058,1250,32,16,No,PCIe 2.0 x16,GDDR5,GM107
Quadro K620M,2,64,1029,900,16,8,No,MXM-A (3.0),DDR3,GM108
Quadro M1000M,2,128,993,1253,32,16,No,MXM-A (3.0),GDDR5,GM107
Quadro M2000M,4,128,1029,1253,40,16,No,MXM-A (3.0),GDDR5,GM107
Quadro M3000M,4,256,1050,1253,64,32,No,PCIe 3.0 x16,GDDR5,GM204
Quadro M4000,8,256,773,1502,104,64,No,PCIe 3.0 x16,GDDR5,GM204
Quadro M4000M,4,256,975,1253,80,64,No,PCIe 3.0 x16,GDDR5,GM204
Quadro M5000,8,256,861,1653,128,64,No,PCIe 3.0 x16,GDDR5,GM204
Quadro M5000M,8,256,975,1253,96,64,No,MXM-B (3.0),GDDR5,GM204
Quadro M6000,12,384,988,1653,192,96,No,PCIe 3.0 x16,GDDR5,GM200
Quadro M600M,2,128,837,1253,16,8,No,MXM-A (3.0),GDDR5,GM107
Radeon E6465,2,64,600,800,8,4,No,PCIe 2.0 x16,GDDR5,Caicos
Radeon E8870,4,128,1000,1500,48,16,No,MXM-B (3.0),GDDR5,Saturn
Radeon E8950,8,256,735,1500,128,32,No,MXM-B (3.0),GDDR5,Amethyst
Radeon R2 Mobile Graphics,,,497,,8,4,Yes,IGP,System Shared,Beema
Radeon R2 Mobile Graphics,,,300,,8,4,Yes,IGP,System Shared,Beema
Radeon R3 Mobile Graphics,,,600,,8,4,Yes,IGP,System Shared,Beema
Radeon R3E Mobile Graphics,,,351,,8,4,Yes,IGP,System Shared,Beema
Radeon R5 310 OEM,2,64,775,805,8,4,No,PCIe 2.0 x16,DDR3,Caicos
Radeon R5 310 OEM,1.024,64,875,900,8,4,No,PCIe 2.0 x16,DDR3,Caicos
Radeon R5 330 OEM,2,64,830,900,20,8,No,PCIe 3.0 x8,DDR3,Hainan
Radeon R5 340 OEM,1.024,64,730,1150,24,8,No,PCIe 3.0 x8,GDDR5,Oland
Radeon R5 340X OEM,2,64,900,1000,24,8,No,PCIe 3.0 x8,DDR3,Oland
Radeon R5 A320,1.024,64,750,1000,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 A330,2,64,1030,900,20,8,No,PCIe 3.0 x8,DDR3,Exo
Radeon R5 A335,2,64,1070,900,20,8,No,PCIe 3.0 x8,DDR3,Exo
Radeon R5 M315,2,64,970,900,24,8,No,PCIe 3.0 x8,DDR3,Meso
Radeon R5 M320,4,64,780,1000,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 M330,2,64,955,900,20,8,No,PCIe 3.0 x8,DDR3,Exo
Radeon R5 M335,2,64,1070,900,20,8,No,PCIe 3.0 x8,DDR3,Exo
Radeon R5 Mobile Graphics,,,200,,24,8,Yes,IGP,System Shared,Wani
Radeon R6 M335DX,,,955,,24,8,Yes,IGP,System Shared,Jet
Radeon R6 M340DX,,,955,,24,8,Yes,IGP,System Shared,Jet
Radeon R6 Mobile Graphics,,,200,,24,8,Yes,IGP,System Shared,Wani
Radeon R7 340 OEM,2,128,730,900,24,8,No,PCIe 3.0 x8,DDR3,Oland
Radeon R7 340 OEM,2,128,730,1000,24,8,No,PCIe 3.0 x8,GDDR5,Oland
Radeon R7 350 OEM,2,128,1000,1150,24,8,No,PCIe 3.0 x8,GDDR5,Oland
Radeon R7 350X OEM,4,128,1000,1000,24,8,No,PCIe 3.0 x8,DDR3,Oland
Radeon R7 360,2,128,1000,1500,48,16,No,PCIe 3.0 x16,GDDR5,Tobago
Radeon R7 360 896SP,2,128,1100,1500,56,16,No,PCIe 3.0 x16,GDDR5,Tobago
Radeon R7 360E,2,128,1050,1500,48,16,No,PCIe 3.0 x16,GDDR5,Tobago
Radeon R7 370,2,256,925,1400,64,32,No,PCIe 3.0 x16,GDDR5,Trinidad
Radeon R7 A360,2,64,1100,900,24,8,No,PCIe 3.0 x8,DDR3,Meso
Radeon R7 A360,2,128,725,900,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 A360,1.024,128,900,900,24,8,No,PCIe 3.0 x8,GDDR5,Meso
Radeon R7 M260X,1.024,128,620,1000,24,8,No,PCIe 3.0 x8,GDDR5,Opal
Radeon R7 M340,2,64,943,1000,20,8,No,PCIe 3.0 x8,DDR3,Meso
Radeon R7 M340,1.024,64,620,1000,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 M350,4,64,1000,1000,24,8,No,PCIe 3.0 x8,DDR3,Meso
Radeon R7 M350,2,64,725,900,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 M360,2,64,1100,900,24,8,No,PCIe 3.0 x8,DDR3,Meso
Radeon R7 M365X,1.024,128,900,1000,24,8,No,PCIe 3.0 x8,GDDR5,Litho
Radeon R7 M370,4,128,900,1150,24,8,No,PCIe 3.0 x8,GDDR5,Litho
Radeon R7 M380,4,128,900,1000,40,16,No,PCIe 3.0 x16,DDR3,Tropo
Radeon R7 Mobile Graphics,,,200,,32,8,Yes,IGP,System Shared,Wani
Radeon R8 M350DX,,,955,,24,8,Yes,IGP,System Shared,Jet
Radeon R8 M365DX,,,900,,24,8,Yes,IGP,System Shared,Meso
Radeon R9 270 1024SP,2,256,900,1200,64,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
Radeon R9 360 OEM,2,128,1000,1625,48,16,No,PCIe 3.0 x16,GDDR5,Tobago
Radeon R9 370,2,256,925,1400,80,32,No,PCIe 3.0 x16,GDDR5,Trinidad
Radeon R9 370 1024SP,2,256,925,1400,64,32,No,PCIe 3.0 x16,GDDR5,Trinidad
Radeon R9 370X,2,256,980,1400,80,32,No,PCIe 3.0 x16,GDDR5,Trinidad
Radeon R9 380,2,256,970,1375,112,32,No,PCIe 3.0 x16,GDDR5,Antigua
Radeon R9 380 OEM,4,256,918,1375,112,32,No,PCIe 3.0 x16,GDDR5,Antigua
Radeon R9 380X,4,256,970,1425,128,32,No,PCIe 3.0 x16,GDDR5,Antigua
Radeon R9 390,8,512,1000,1500,160,64,No,PCIe 3.0 x16,GDDR5,Grenada
Radeon R9 390 X2,8,512,1000,1350,160,64,No,PCIe 3.0 x16,GDDR5,Grenada
Radeon R9 390X,8,512,1050,1500,176,64,No,PCIe 3.0 x16,GDDR5,Grenada
Radeon R9 A375,2,128,900,1125,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon R9 FURY,4,4096,1000,500,224,64,No,PCIe 3.0 x16,HBM,Fiji
Radeon R9 FURY X,4,4096,1050,500,256,64,No,PCIe 3.0 x16,HBM,Fiji
Radeon R9 M270X,2,128,900,1375,48,16,No,PCIe 3.0 x16,GDDR5,Saturn
Radeon R9 M280X,4,128,900,1375,56,16,No,PCIe 3.0 x16,GDDR5,Saturn
Radeon R9 M280X,2,128,1000,1500,56,16,No,PCIe 3.0 x16,GDDR5,Saturn
Radeon R9 M360,4,128,900,1125,32,16,No,PCIe 3.0 x16,GDDR5,Tropo
Radeon R9 M365X,4,128,900,1125,40,16,No,PCIe 3.0 x16,GDDR5,Tropo
Radeon R9 M370X Mac Edition,2,128,775,1125,40,16,No,PCIe 3.0 x16,GDDR5,Tropo
Radeon R9 M375,2,128,1000,900,40,16,No,PCIe 3.0 x16,DDR3,Tropo
Radeon R9 M375X,2,128,925,1125,40,16,No,PCIe 3.0 x16,GDDR5,Tropo
Radeon R9 M380,4,128,900,1500,48,16,No,PCIe 3.0 x16,GDDR5,Strato
Radeon R9 M380 Mac Edition,2,128,900,1568,48,16,No,PCIe 3.0 x16,GDDR5,Strato
Radeon R9 M385,4,128,900,1200,56,16,No,PCIe 3.0 x16,GDDR5,Strato
Radeon R9 M385X,4,128,1000,1200,56,16,No,PCIe 3.0 x16,GDDR5,Strato
Radeon R9 M390 Mac Edition,2,256,958,1365,64,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
Radeon R9 M390X,4,256,723,1250,128,32,No,PCIe 3.0 x16,GDDR5,Amethyst
Radeon R9 M395 Mac Edition,2,256,834,1365,112,32,No,MXM-B (3.0),GDDR5,Amethyst
Radeon R9 M395X,8,256,723,1250,128,32,No,PCIe 3.0 x16,GDDR5,Amethyst
Radeon R9 M395X Mac Edition,4,256,909,1365,128,32,No,MXM-B (3.0),GDDR5,Amethyst
Radeon R9 Nano,4,4096,1000,500,256,64,No,PCIe 3.0 x16,HBM,Fiji
Tesla M4,4,128,872,1375,64,32,No,PCIe 3.0 x16,GDDR5,GM206
Tesla M40,12,384,948,1502,192,96,No,PCIe 3.0 x16,GDDR5,GM200
Tesla M40 24 GB,24,384,948,1502,192,96,No,PCIe 3.0 x16,GDDR5,GM200
Tesla M6,8,256,930,1253,96,64,No,PCIe 3.0 x16,GDDR5,GM204
Tesla M60,8,256,557,1253,128,64,No,PCIe 3.0 x16,GDDR5,GM204
FirePro D300,2,256,850,1270,80,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
FirePro D500,3,384,725,1270,96,32,No,PCIe 3.0 x16,GDDR5,Tahiti
FirePro D700,6,384,850,1370,128,32,No,PCIe 3.0 x16,GDDR5,Tahiti
FirePro S10000 Passive 12GB,6,384,825,1250,112,32,No,PCIe 3.0 x16,GDDR5,Tahiti
FirePro S4000X,2,128,725,1125,40,16,No,PCIe 3.0 x16,GDDR5,Venus
FirePro S9050,12,384,900,1375,112,32,No,PCIe 3.0 x16,GDDR5,Tahiti
FirePro S9100,12,512,824,1250,160,64,No,PCIe 3.0 x16,GDDR5,Hawaii
FirePro S9150,16,512,900,1250,176,64,No,PCIe 3.0 x16,GDDR5,Hawaii
FirePro W2100,2,128,630,900,20,8,No,PCIe 3.0 x8,DDR3,Oland
FirePro W4100,2,128,630,1000,32,16,No,PCIe 3.0 x16,GDDR5,Cape Verde
FirePro W4170M,2,128,825,1000,24,8,No,PCIe 3.0 x8,GDDR5,Mars
FirePro W5100,4,128,930,1500,48,16,No,PCIe 3.0 x16,GDDR5,Bonaire
FirePro W5170M,2,128,900,1125,40,16,No,MXM-A (3.0),GDDR5,Tropo
FirePro W6170M,2,128,1075,1375,48,16,No,MXM-B (3.0),GDDR5,Saturn
FirePro W7100,8,256,920,1250,112,32,No,PCIe 3.0 x16,GDDR5,Tonga
FirePro W8100,8,512,824,1250,160,64,No,PCIe 3.0 x16,GDDR5,Hawaii
FirePro W9100,16,512,930,1250,176,64,No,PCIe 3.0 x16,GDDR5,Hawaii
705A,1.024,64,475,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
710A,1.024,64,719,900,16,8,No,PCIe 3.0 x8,DDR3,GK208
720A,1.024,64,775,1000,16,8,No,PCIe 2.0 x16,DDR3,GF117
800A,1.024,64,475,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
800A,1.024,64,475,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
800M,1.024,64,738,900,8,8,No,PCIe 2.0 x16,DDR3,GF117
805A,1.024,64,719,1001,16,8,No,PCIe 3.0 x8,DDR3,GK208
810A,2,64,719,900,16,8,No,PCIe 3.0 x8,DDR3,GK208
810M,1.024,64,738,900,8,8,No,PCIe 2.0 x16,DDR3,GF117
820A,1.024,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
825M,1.024,64,850,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
830A,2,64,1082,900,16,8,No,PCIe 3.0 x8,DDR3,GM108
830M,2,64,1082,900,16,8,No,PCIe 3.0 x8,DDR3,GM108
840A,2,64,1029,1001,16,8,No,PCIe 3.0 x8,DDR3,GM108
840M,2,64,1029,1001,16,8,No,PCIe 3.0 x8,DDR3,GM108
GT 705 OEM,1.024,64,874,825,8,4,No,PCIe 2.0 x16,DDR3,GF119
GT 710,2,64,954,900,16,8,No,PCIe 2.0 x8,DDR3,GK208B
GT 710,2,64,954,900,16,8,No,PCIe 2.0 x8,DDR3,GK208
GT 710 PCIe x1,1.024,64,954,800,16,8,No,PCIe 2.0 x1,DDR3,GK208B
GT 720,2,64,967,900,32,8,No,PCIe 2.0 x8,DDR3,GK208
GT 720,1.024,64,797,800,16,8,No,PCIe 2.0 x8,DDR3,GK208B
GT 720A,1.024,64,775,1001,16,8,No,PCIe 2.0 x16,DDR3,GF117
GT 730,2,128,700,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
GT 730,1.024,128,700,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
GT 730,1.024,64,902,1253,32,8,No,PCIe 2.0 x8,GDDR5,GK208B
GT 730A,2,64,719,1001,32,8,No,PCIe 3.0 x8,DDR3,GK208
GT 730M,2,64,719,900,32,8,No,PCIe 2.0 x8,DDR3,GK208
GT 740,1.024,128,993,1253,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GTX 660 Rev. 2,2,192,980,1502,80,24,No,PCIe 3.0 x16,GDDR5,GK104
GTX 745 OEM,4,128,1033,900,24,16,No,PCIe 3.0 x16,DDR3,GM107
GTX 750,1.024,128,1020,1253,32,16,No,PCIe 3.0 x16,GDDR5,GM107
GTX 750 Ti,2,128,1020,1350,40,16,No,PCIe 3.0 x16,GDDR5,GM107
GTX 750 Ti OEM,2,256,1033,1502,80,24,No,PCIe 3.0 x16,GDDR5,GK106
GTX 760A,2,128,628,1002,64,16,No,PCIe 3.0 x16,GDDR5,GK106
GTX 850A,2,128,902,900,40,16,No,PCIe 3.0 x16,DDR3,GM107
GTX 850M,2,128,902,1001,40,16,No,PCIe 3.0 x16,DDR3,GM107
GTX 860M,4,128,1020,1253,40,16,No,MXM-B (3.0),GDDR5,GM107
GTX 860M,2,128,797,1250,96,16,No,PCIe 3.0 x16,GDDR5,GK104
GTX 870M,3,192,941,1250,112,24,No,MXM-B (3.0),GDDR5,GK104
GTX 880M,8,256,954,1250,128,32,No,MXM-B (3.0),GDDR5,GK104
GTX 970,4,256,1050,1753,104,56,No,PCIe 3.0 x16,GDDR5,GM204
GTX 970M,6,192,924,1253,80,48,No,MXM-B (3.0),GDDR5,GM204
GTX 970M,3,192,924,1253,80,48,No,MXM-B (3.0),GDDR5,GM204
GTX 980,4,256,1127,1753,128,64,No,PCIe 3.0 x16,GDDR5,GM204
GTX 980M,8,256,1038,1253,96,64,No,MXM-B (3.0),GDDR5,GM204
GTX 980M,8,256,540,1253,96,64,No,MXM-B (3.0),GDDR5,GM204
GTX TITAN BLACK,6,384,889,1750,240,48,No,PCIe 3.0 x16,GDDR5,GK110B
GTX TITAN Z,6,384,705,1750,240,48,No,PCIe 3.0 x16,GDDR5,GK110B
GRID K120Q,0.512,128,850,891,16,16,No,PCIe 3.0 x16,DDR3,GK107
GRID K220Q,0.512,256,745,1250,128,32,No,PCIe 3.0 x16,GDDR5,GK104
GRID K500,4,256,745,1250,128,32,No,PCIe 3.0 x16,GDDR5,GK104
GRID K520Q,4,256,745,1250,128,32,No,PCIe 3.0 x16,GDDR5,GK104
GRID K540Q,4,256,745,1250,128,32,No,PCIe 3.0 x16,GDDR5,GK104
GRID K560Q,4,256,745,1250,128,32,No,PCIe 3.0 x16,GDDR5,GK104
HD Graphics 5300,,,300,,24,3,Yes,Ring Bus,System Shared,Broadwell GT2
HD Graphics 5500,,,300,,24,3,Yes,Ring Bus,System Shared,Broadwell GT2
HD Graphics 5600,,,300,,24,3,Yes,Ring Bus,System Shared,Broadwell GT2
HD Graphics 6000,,,300,,48,6,Yes,Ring Bus,System Shared,Broadwell GT3
HD Graphics P5700,,,700,,24,3,Yes,Ring Bus,System Shared,Broadwell GT2
Iris Graphics 6100,,,300,,48,6,Yes,Ring Bus,System Shared,Broadwell GT3
Iris Pro Graphics 6200,,,300,,48,6,Yes,Ring Bus,System Shared,Broadwell GT3e
Iris Pro Graphics 6200,,,300,,48,6,Yes,Ring Bus,System Shared,Broadwell GT3e
Iris Pro Graphics P6300,,,300,,48,6,Yes,Ring Bus,System Shared,Broadwell GT3e
Jetson TK1 GPU,,,756,,8,4,Yes,IGP,System Shared,GK20A
Quadro K100M,1.024,64,850,800,16,8,No,MXM-A (3.0),DDR3,GK107
Quadro K200M,1.024,64,850,800,16,8,No,MXM-A (3.0),DDR3,GK107
Quadro K2200,4,128,1046,1253,40,16,No,PCIe 2.0 x16,GDDR5,GM107
Quadro K2200M,2,128,667,1253,40,16,No,MXM-A (3.0),GDDR5,GM107
Quadro K420,1.024,128,876,891,16,16,No,PCIe 2.0 x16,DDR3,GK107
Quadro K4200,4,256,771,1350,112,32,No,PCIe 2.0 x16,GDDR5,GK104
Quadro K5200,8,256,667,1502,192,48,No,PCIe 3.0 x16,GDDR5,GK110B
Quadro K620,2,128,1058,900,24,16,No,PCIe 2.0 x16,DDR3,GM107
Radeon E8860,2,128,575,1125,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon HD 8210 IGP,,,300,,8,4,Yes,IGP,System Shared,Kalindi
Radeon HD 8530M,1.024,64,650,900,16,8,No,PCIe 3.0 x8,DDR3,Mars
Radeon HD 8550M,1.024,64,650,900,20,8,No,PCIe 3.0 x8,DDR3,Sun
Radeon R4 Mobile Graphics,,,533,,12,8,Yes,IGP,System Shared,Spectre SL
Radeon R4 Mobile Graphics,,,800,,8,4,Yes,IGP,System Shared,Beema
Radeon R5 230,1.024,64,625,667,8,4,No,PCIe 2.0 x16,DDR3,Caicos
Radeon R5 A220,1.024,64,775,900,8,4,No,PCIe 2.0 x16,DDR3,Caicos
Radeon R5 A230,4,64,780,1000,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 A240,2,128,730,900,20,8,No,PCIe 3.0 x8,DDR3,Oland
Radeon R5 A240,1.024,64,1030,900,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 A255,1.024,128,925,1000,24,8,No,PCIe 3.0 x8,GDDR5,Topaz
Radeon R5 Graphics,,,758,,16,4,Yes,IGP,System Shared,Spectre SL
Radeon R5 Graphics,,,497,,16,4,Yes,IGP,System Shared,Spectre SL
Radeon R5 M230,4,64,825,1000,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 M230,4,64,780,1000,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 M230 Rebrand,2,64,780,900,20,8,No,PCIe 3.0 x8,DDR3,Sun
Radeon R5 M240,1.024,64,1000,900,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 M240 Rebrand,1.024,64,650,900,24,8,No,PCIe 3.0 x8,DDR3,Mars
Radeon R5 M250,1.024,64,650,900,20,8,No,PCIe 3.0 x8,DDR3,Jet
Radeon R5 M255,1.024,128,925,1000,24,8,No,PCIe 3.0 x8,GDDR5,Topaz
Radeon R5 Mobile Graphics,,,800,,8,4,Yes,IGP,System Shared,Beema
Radeon R6 M255DX,,,925,,24,8,Yes,IGP,System Shared,Topaz
Radeon R6 M255DX,,,780,,20,8,Yes,IGP,System Shared,Jet
Radeon R6 Mobile Graphics,,,533,,24,8,Yes,IGP,System Shared,Spectre Lite
Radeon R7 250X,1.024,128,950,1125,40,16,No,PCIe 3.0 x16,GDDR5,Cape Verde
Radeon R7 250XE,1.024,128,860,1125,40,16,No,PCIe 3.0 x16,GDDR5,Cape Verde
Radeon R7 265,2,256,900,1400,64,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
Radeon R7 265X OEM,2,256,900,1400,80,32,No,PCIe 3.0 x16,GDDR5,Curacao
Radeon R7 A260,1.024,128,900,900,24,8,No,PCIe 3.0 x8,GDDR5,Topaz
Radeon R7 A265,2,128,725,900,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 Graphics,,,720,,32,8,Yes,IGP,System Shared,Spectre
Radeon R7 Graphics,,,720,,24,8,Yes,IGP,System Shared,Spectre Lite
Radeon R7 M260,2,64,940,900,24,8,No,PCIe 3.0 x8,DDR3,Topaz
Radeon R7 M260DX,,,925,,24,8,Yes,IGP,System Shared,Topaz
Radeon R7 M260DX,,,955,,20,8,Yes,IGP,System Shared,Jet
Radeon R7 M260DX,,,780,,20,8,Yes,IGP,System Shared,Jet
Radeon R7 M265,2,64,900,900,24,8,No,PCIe 3.0 x8,DDR3,Topaz
Radeon R7 M265,2,128,725,900,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 M265DX,,,925,,24,8,Yes,IGP,System Shared,Topaz
Radeon R7 M265DX,,,900,,24,8,Yes,IGP,System Shared,Topaz
Radeon R7 M265DX,,,780,,20,8,Yes,IGP,System Shared,Jet
Radeon R7 M270,2,128,725,900,24,8,No,PCIe 3.0 x8,DDR3,Opal
Radeon R7 M270DX,,,900,,24,8,Yes,IGP,System Shared,Topaz
Radeon R7 M270DX,,,780,,20,8,Yes,IGP,System Shared,Jet
Radeon R7 Mobile Graphics,,,554,,24,8,Yes,IGP,System Shared,Spectre Lite
Radeon R9 280,3,384,827,1250,112,32,No,PCIe 3.0 x16,GDDR5,Tahiti
Radeon R9 285,2,256,918,1375,112,32,No,PCIe 3.0 x16,GDDR5,Tonga
Radeon R9 290X2,4,512,1000,1350,176,64,No,PCIe 3.0 x16,GDDR5,Hawaii
Radeon R9 295X2,4,512,1018,1250,176,64,No,PCIe 3.0 x16,GDDR5,Vesuvius
Radeon R9 M265X,2,128,575,1000,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon R9 M270X,2,128,725,1000,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon R9 M275,2,128,900,1000,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon R9 M275X,2,128,900,1125,40,16,No,PCIe 3.0 x16,GDDR5,Venus
Radeon R9 M290X,4,256,850,1200,80,32,No,PCIe 3.0 x16,GDDR5,Neptune
Radeon R9 M290X Mac Edition,2,256,850,1365,64,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
Radeon R9 M295X,4,256,723,1250,128,32,No,MXM-B (3.0),GDDR5,Amethyst
Radeon R9 M295X Mac Edition,4,256,850,1362,128,32,No,MXM-B (3.0),GDDR5,Amethyst
Tesla K8,8,256,693,1250,128,32,No,PCIe 2.0 x16,GDDR5,GK104
Tesla K80,12,384,562,1253,208,48,No,PCIe 3.0 x16,GDDR5,GK210
FirePro M3100,1.024,128,650,1000,24,8,No,PCIe 3.0 x8,DDR3,Mars
FirePro M4100,2,128,670,1000,24,8,No,PCIe 3.0 x8,GDDR5,Mars
FirePro M4150,1.024,128,715,1000,24,8,No,PCIe 3.0 x8,GDDR5,Opal
FirePro M5100,2,128,725,1125,40,16,No,MXM-A (3.0),GDDR5,Venus
FirePro M6100,2,128,1075,1375,48,16,No,MXM-B (3.0),GDDR5,Saturn
FirePro R5000,2,256,825,800,48,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
FirePro W5000 DVI,2,256,825,800,48,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
505 OEM,1.024,128,615,700,12,8,No,PCIe 1.0 x16,DDR3,GT216
505 OEM,0.512,64,589,600,8,4,No,PCIe 1.0 x16,DDR3,GT218
705A,1.024,64,738,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
705M,1.024,64,738,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
705M,1.024,64,738,900,8,8,No,PCIe 2.0 x16,DDR3,GF117
710A,2,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
710M,1.024,64,719,900,16,8,No,PCIe 3.0 x8,DDR3,GK208
710M,1.024,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
720M,2,64,625,800,16,8,No,PCIe 2.0 x16,DDR3,GF117
820M,1.024,64,625,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
GT 625 OEM,1.024,64,874,825,8,4,No,PCIe 2.0 x16,DDR3,GF119
GT 630 Rev. 2,2,64,902,900,32,8,No,PCIe 2.0 x8,DDR3,GK208
GT 630 Rev. 2 PCIe x8,2,64,902,900,32,8,No,PCIe 2.0 x8,DDR3,GK208
GT 635 OEM,1.024,64,967,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
GT 640 Rev. 2,1.024,64,1046,1252,32,8,No,PCIe 2.0 x8,GDDR5,GK208
GT 640M Mac Edition,0.512,64,745,1250,32,8,No,PCIe 3.0 x16,GDDR5,GK107
GT 710M,1.024,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
GT 720M,2,64,719,800,16,8,No,PCIe 2.0 x8,DDR3,GK208
GT 720M,2,64,775,800,16,8,No,PCIe 2.0 x16,DDR3,GF117
GT 730M,2,128,725,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
GT 735M,2,64,575,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
GT 740A,2,64,980,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
GT 740M,2,64,980,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
GT 740M,2,128,810,901,32,16,No,PCIe 3.0 x16,DDR3,GK107
GT 745A,2,128,837,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
GT 745M,2,128,837,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
GT 745M,2,128,549,1000,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GT 750M,2,128,941,1003,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GT 750M Mac Edition,2,128,926,1254,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GT 755M,2,128,980,1350,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GT 755M Mac Edition,1.024,128,1085,1250,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GT 820M,1.024,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
